label,count,assigned_topics
electric grinder grinding,425,[4]
people running,422,[2]
barn swallow calling,420,"[0, 4]"
underwater bubbling,420,[4]
firing muskets,417,[1]
dog baying,412,[2]
cheetah chirrup,403,[0]
playing hockey,402,[0]
striking pool,401,[1]
people hiccup,394,[0]
people humming,391,[2]
playing tennis,390,[3]
wind chime,389,[1]
cat growling,387,[4]
car engine idling,370,"[0, 3]"
ice cracking,365,[0]
otter growling,363,[4]
fox barking,361,[3]
"alligators, crocodiles hissing",361,[3]
people eating apple,360,[2]
tornado roaring,356,[1]
bird squawking,348,[2]
hair dryer drying,343,[4]
firing cannon,336,[4]
train wheels squealing,333,[4]
alarm clock ringing,331,[1]
cupboard opening or closing,330,"[0, 2]"
striking bowling,326,[1]
thunder,325,[1]
bull bellowing,320,[1]
cat hissing,320,"[3, 4]"
penguins braying,318,[2]
running electric fan,318,[2]
elephant trumpeting,310,[4]
golf driving,303,[3]
people battle cry,291,[2]
extending ladders,291,[0]
snake hissing,285,[3]
playing lacrosse,282,[0]
writing on blackboard with chalk,280,[4]
spraying water,278,[1]
sloshing water,276,[1]
people giggling,273,[2]
cutting hair with electric trimmers,268,[4]
lip smacking,265,[0]
forging swords,264,[3]
plastic bottle crushing,264,[4]
warbler chirping,264,[4]
chipmunk chirping,261,[4]
bird wings flapping,258,[4]
chopping wood,254,[4]
popping popcorn,253,[3]
eagle screaming,252,[2]
hedge trimmer running,251,[2]
footsteps on snow,251,[1]
sea waves,250,[3]
blowtorch igniting,250,[3]
goat bleating,246,[1]
air conditioning noise,245,[1]
mouse squeaking,240,[1]
ferret dooking,239,[3]
cat caterwauling,237,[0]
strike lighter,229,[0]
people nose blowing,228,[0]
people eating,226,[2]
shot football,226,[1]
smoke detector beeping,221,[4]
people gargling,221,[0]
cuckoo bird calling,218,[4]
foghorn,217,[4]
eletric blender running,214,[0]
chinchilla barking,213,[0]
people slapping,211,"[1, 2]"
sea lion barking,211,[0]
opening or closing car electric windows,205,[2]
children shouting,201,[0]
bathroom ventilation fan running,200,[2]
baltimore oriole calling,200,[4]
playing shofar,200,[3]
telephone bell ringing,200,[1]
"fly, housefly buzzing",200,[0]
metronome,200,[4]
disc scratching,200,[0]
whale calling,200,[4]
cell phone buzzing,200,[2]
chopping food,200,[2]
playing washboard,200,[3]
people finger snapping,200,[0]
playing tuning fork,200,[0]
door slamming,200,[0]
pumping water,199,[2]
snake rattling,199,[3]
zebra braying,199,[2]
playing castanets,199,[1]
cow lowing,199,[1]
air horn,197,[2]
