label,count,cluster
dog howling,929,1
"playing steel guitar, slide guitar",929,2
wind noise,922,1
playing bongo,920,3
skateboarding,914,3
playing synthesizer,909,2
"electric shaver, electric razor shaving",908,0
playing ukulele,907,2
skidding,906,3
cap gun shooting,904,3
people clapping,903,1
playing cornet,893,3
people sniggering,891,1
playing vibraphone,885,2
mynah bird singing,884,1
people whistling,883,1
horse clip-clop,882,1
printer printing,881,0
baby laughter,881,1
playing french horn,865,2
playing bass drum,863,2
cat purring,861,1
playing sitar,860,3
lathe spinning,859,0
lawn mowing,858,0
lighting firecrackers,854,3
volcano explosion,842,1
playing electronic organ,839,2
playing trumpet,835,2
dog growling,826,1
playing harmonica,824,2
playing mandolin,824,2
people marching,817,1
planing timber,816,0
playing tambourine,811,2
playing double bass,810,2
church bell ringing,807,1
gibbon howling,792,1
goose honking,788,1
tapping guitar,780,2
sharpen knife,776,0
train horning,771,1
dog barking,767,1
singing choir,762,2
"heart sounds, heartbeat",756,1
owl hooting,753,1
people whispering,747,1
woodpecker pecking tree,745,1
typing on typewriter,745,0
cattle mooing,735,1
people screaming,731,1
hail,718,3
canary calling,717,1
people cheering,704,1
cricket chirping,702,1
stream burbling,690,1
people sneezing,688,1
wood thrush calling,681,1
roller coaster running,678,3
"ice cream truck, ice cream van",676,3
people shuffling,675,3
baby crying,667,1
mouse clicking,660,0
francolin calling,651,3
turkey gobbling,646,1
"cattle, bovinae cowbell",644,1
rapping,638,3
dinosaurs bellowing,633,1
playing timpani,629,2
dog bow-wow,628,1
using sewing machines,626,0
chicken clucking,625,1
splashing water,618,3
hammering nails,613,0
train whistling,608,1
driving snowmobile,603,3
duck quacking,602,1
lions growling,599,1
baby babbling,598,1
car passing by,595,3
parrot talking,593,1
sailing,592,3
cat meowing,588,1
people babbling,587,1
sliding door,587,0
playing timbales,587,3
horse neighing,587,1
swimming,566,3
wind rustling leaves,563,1
people slurping,562,1
typing on computer keyboard,561,0
people eating noodle,560,1
ripping paper,560,0
elk bugling,557,1
playing gong,557,2
playing darts,555,3
people farting,554,1
"bee, wasp, etc. buzzing",551,1
playing oboe,546,2
playing zither,538,3
eating with cutlery,528,0
bouncing on trampoline,526,3
people belly laughing,517,1
sheep bleating,515,1
waterfall burbling,514,1
airplane,506,3
playing steelpan,504,3
fire crackling,492,1
car engine starting,491,0
coyote howling,490,1
reversing beeps,487,1
people sobbing,481,1
playing guiro,477,3
chimpanzee pant-hooting,473,1
raining,473,3
playing congas,465,3
playing tympani,463,3
dog whimpering,461,1
opening or closing car doors,459,0
opening or closing drawers,458,0
people coughing,453,1
black capped chickadee calling,446,1
pig oinking,444,1
playing bugle,442,3
people eating crisps,442,1
"donkey, ass braying",438,1
mosquito buzzing,438,1
squishing water,435,1
playing djembe,430,3
mouse pattering,430,1
magpie calling,429,1
electric grinder grinding,425,0
people running,422,3
barn swallow calling,420,1
underwater bubbling,420,1
firing muskets,417,3
dog baying,412,1
cheetah chirrup,403,1
playing hockey,402,3
striking pool,401,3
people hiccup,394,1
people humming,391,1
playing tennis,390,3
wind chime,389,1
cat growling,387,1
car engine idling,370,0
ice cracking,365,3
otter growling,363,1
fox barking,361,1
"alligators, crocodiles hissing",361,1
people eating apple,360,1
tornado roaring,356,1
bird squawking,348,1
hair dryer drying,343,0
firing cannon,336,3
train wheels squealing,333,1
alarm clock ringing,331,1
cupboard opening or closing,330,0
striking bowling,326,3
thunder,325,1
bull bellowing,320,1
cat hissing,320,1
penguins braying,318,1
running electric fan,318,0
elephant trumpeting,310,1
golf driving,303,3
people battle cry,291,1
extending ladders,291,0
snake hissing,285,1
playing lacrosse,282,3
writing on blackboard with chalk,280,3
spraying water,278,3
sloshing water,276,3
people giggling,273,1
cutting hair with electric trimmers,268,0
lip smacking,265,1
forging swords,264,0
plastic bottle crushing,264,0
warbler chirping,264,1
chipmunk chirping,261,1
bird wings flapping,258,1
chopping wood,254,0
popping popcorn,253,3
eagle screaming,252,1
hedge trimmer running,251,0
footsteps on snow,251,1
sea waves,250,3
blowtorch igniting,250,1
goat bleating,246,1
air conditioning noise,245,1
mouse squeaking,240,1
ferret dooking,239,1
cat caterwauling,237,1
strike lighter,229,3
people nose blowing,228,1
people eating,226,1
shot football,226,3
smoke detector beeping,221,1
people gargling,221,1
cuckoo bird calling,218,1
foghorn,217,1
eletric blender running,214,0
chinchilla barking,213,1
people slapping,211,1
sea lion barking,211,1
opening or closing car electric windows,205,0
children shouting,201,1
bathroom ventilation fan running,200,1
baltimore oriole calling,200,1
playing shofar,200,3
telephone bell ringing,200,1
"fly, housefly buzzing",200,1
metronome,200,3
disc scratching,200,0
whale calling,200,1
cell phone buzzing,200,1
chopping food,200,0
playing washboard,200,3
people finger snapping,200,1
playing tuning fork,200,2
door slamming,200,1
pumping water,199,3
snake rattling,199,1
zebra braying,199,1
playing castanets,199,3
cow lowing,199,1
air horn,197,1
